"Time","uptime percent"
1652863400000,100
1652863405000,100
1652863410000,100
1652863415000,100
1652863420000,100
1652863425000,100
1652863430000,100
1652863435000,100
1652863440000,100
1652863445000,100
1652863450000,100
1652863455000,100
1652863460000,100
1652863465000,100
1652863470000,100
1652863475000,100
1652863480000,100
1652863485000,100
1652863490000,100
1652863495000,100
1652863500000,100
1652863505000,100
1652863510000,100
1652863515000,100
1652863520000,100
1652863525000,100
1652863530000,100
1652863535000,100
1652863540000,100
1652863545000,100
1652863550000,100
1652863555000,100
1652863560000,100
1652863565000,100
1652863570000,100
1652863575000,100
1652863580000,100
1652863585000,100
1652863590000,100
1652863595000,100
1652863600000,100
1652863605000,100
1652863610000,100
1652863615000,100
1652863620000,100
1652863625000,100
1652863630000,100
1652863635000,100
1652863640000,100
1652863645000,100
1652863650000,100
1652863655000,100
1652863660000,100
1652863665000,100
1652863670000,100
1652863675000,100
1652863680000,100
1652863685000,100
1652863690000,100
1652863695000,100
1652863700000,100

