"Time","sum(container_memory_working_set_bytes)"
1652863960000,14136193024
1652863980000,14990598144
1652864000000,15337345024
1652864020000,15920799744
1652864040000,15937949696
1652864060000,15868358656
1652864080000,15559892992
1652864100000,15076917248
1652864120000,15502434304
1652864140000,15852904448
1652864160000,16721772544
1652864180000,16907837440
1652864200000,17088851968
1652864220000,16032149504
1652864240000,15981424640
1652864260000,13131436032
1652864280000,12294225920
1652864300000,12003041280
1652864320000,11292258304
1652864340000,11592196096
1652864360000,12475822080
1652864380000,12861440000
1652864400000,12665217024
1652864420000,12512874496
1652864440000,12232425472
1652864460000,11517497344
1652864480000,11907977216
1652864500000,13150855168
1652864520000,13163311104
1652864540000,16604925952
1652864560000,16749195264
1652864580000,16851779584
1652864600000,16695889920
1652864620000,17671864320
1652864640000,17317031936
1652864660000,16233271296
1652864680000,15744868352
1652864700000,15945461760
1652864720000,16356855808
1652864740000,16572162048
1652864760000,16858419200
1652864780000,16922275840
1652864800000,15610224640
1652864820000,16142200832
1652864840000,13411786752
1652864860000,14000500736
1652864880000,14023467008
1652864900000,14104956928
1652864920000,13181804544
1652864940000,13895258112
1652864960000,13835051008
1652864980000,14839427072
1652865000000,14893629440
1652865020000,14533103616
1652865040000,14334017536
1652865060000,13921923072
1652865080000,16258371584
1652865100000,16734445568
1652865120000,16909094912
1652865140000,16180178944
1652865160000,15781683200
1652865180000,16003710976
1652865200000,16136568832
1652865220000,16204541952
1652865240000,15483162624
1652865260000,15467450368
1652865280000,14570909696
1652865300000,14282063872
1652865320000,14272667648
1652865340000,16000565248
1652865360000,17284710400
1652865380000,14617022464
1652865400000,16937271296
1652865420000,16679919616
1652865440000,17500528640
1652865460000,17204432896
1652865480000,16757653504
1652865500000,17161768960
1652865520000,17245011968
1652865540000,17275949056
1652865560000,17259433984
1652865580000,17757134848
1652865600000,17413095424
1652865620000,17243078656
1652865640000,16256348160
1652865660000,15001583616
1652865680000,15754588160
1652865700000,12973318144
1652865720000,12755775488
1652865740000,11917811712
1652865760000,13082857472
1652865780000,13072883712
1652865800000,12672598016
1652865820000,12581474304
1652865840000,12783398912
1652865860000,13017100288
1652865880000,13777530880
1652865900000,13875642368
1652865920000,16724336640
1652865940000,16074063872
1652865960000,16149217280
1652865980000,15382331392
1652866000000,16135217152
1652866020000,16395571200
1652866040000,17702711296
1652866060000,16664305664
1652866080000,16854396928
1652866100000,17429573632
1652866120000,17370083328
1652866140000,17132421120
1652866160000,16940331008
1652866180000,16154750976
1652866200000,16373129216
1652866220000,14770421760
1652866240000,15414636544
1652866260000,18492407808
1652866280000,18048372736
1652866300000,17332944896
1652866320000,16931864576
1652866340000,16964780032
1652866360000,16856174592
1652866380000,16814583808
1652866400000,17125617664
1652866420000,17724358656
1652866440000,18004238336
1652866460000,17988362240
1652866480000,17471008768
1652866500000,17020289024
1652866520000,15776952320
1652866540000,15662444544
1652866560000,13421629440
1652866580000,13563011072
1652866600000,14152056832
1652866620000,14149382144
1652866640000,13641891840
1652866660000,13674532864
1652866680000,13611413504
1652866700000,16474959872
1652866720000,16560295936
1652866740000,16514859008
1652866760000,16534556672
1652866780000,16538345472
1652866800000,17293225984
1652866820000,18181652480
1652866840000,18307112960
1652866860000,17435652096
1652866880000,17402437632
1652866900000,16730075136
1652866920000,16680665088
1652866940000,16309657600
1652866960000,16384315392
1652866980000,16957202432
1652867000000,12984901632
1652867020000,12884578304
1652867040000,13120462848
1652867060000,13132673024
1652867080000,14279360512
1652867100000,14027526144
1652867120000,13142290432
1652867140000,12428931072
1652867160000,15414276096
1652867180000,15309410304
1652867200000,17024405504
1652867220000,18535579648
1652867240000,18156126208
1652867260000,18116915200
1652867280000,18044375040
1652867300000,18157502464
1652867320000,17708916736
1652867340000,17215475712
1652867360000,17181208576
1652867380000,16527458304
1652867400000,16748953600
1652867420000,17118756864
1652867440000,17529016320
1652867460000,15075074048
1652867480000,15078522880
1652867500000,13324099584
1652867520000,11801956352
1652867540000,12144398336
1652867560000,12566712320
1652867580000,12054757376
1652867600000,13098819584
1652867620000,13051801600
1652867640000,13673603072
1652867660000,17750781952
1652867680000,17587101696
1652867700000,17085472768
1652867720000,16898174976
1652867740000,16701861888
1652867760000,17407156224
1652867780000,17918849024
1652867800000,18023940096
1652867820000,18100445184
1652867840000,17938743296
1652867860000,17450196992
1652867880000,17370800128
1652867900000,16974438400
1652867920000,17409925120
1652867940000,17331916800
1652867960000,13711536128
1652867980000,13433417728
1652868000000,13728862208
1652868020000,13521817600
1652868040000,13256978432
1652868060000,11972231168
1652868080000,11702104064
1652868100000,12185874432
1652868120000,12876054528
1652868140000,13276233728
1652868160000,13359046656
1652868180000,14292725760
1652868200000,13616664576
1652868220000,13137416192
1652868240000,16063762432
1652868260000,15852773376
1652868280000,15998849024
1652868300000,16074989568
1652868320000,16482091008
1652868340000,16518651904
1652868360000,17802772480
1652868380000,17521242112
1652868400000,17247285248
1652868420000,16394248192
1652868440000,16034725888
1652868460000,15891861504
1652868480000,15736303616
1652868500000,16096542720
1652868520000,16625729536
1652868540000,13703835648
1652868560000,14495019008
1652868580000,14281838592
1652868600000,13897986048
1652868620000,14479298560
1652868640000,14923292672
1652868660000,14473859072
1652868680000,15027269632
1652868700000,14889443328
1652868720000,15115288576
1652868740000,15023243264
1652868760000,15686660096
1652868780000,14939246592
1652868800000,17532428288
1652868820000,17127071744
1652868840000,17940381696
1652868860000,17495142400
1652868880000,17473282048
1652868900000,17738235904
1652868920000,17282088960
1652868940000,16844828672
1652868960000,17208098816
1652868980000,17131798528
1652869000000,17074905088
1652869020000,17465479168
1652869040000,17617764352
1652869060000,16931565568
1652869080000,16985337856
1652869100000,14240956416
1652869120000,14152204288
1652869140000,13523984384
1652869160000,14109200384
1652869180000,14797078528
1652869200000,15061245952
1652869220000,14488219648
1652869240000,14388015104
1652869260000,13304430592
1652869280000,13164453888
1652869300000,14142050304
1652869320000,13710807040
1652869340000,16596201472
1652869360000,16725524480

