"Time","uptime percent"
1652864600000,100
1652864620000,100
1652864640000,100
1652864660000,100
1652864680000,100
1652864700000,100
1652864720000,100
1652864740000,100
1652864760000,100
1652864780000,100
1652864800000,100
1652864820000,100
1652864840000,100
1652864860000,100
1652864880000,100
1652864900000,100
1652864920000,100
1652864940000,100
1652864960000,100
1652864980000,100
1652865000000,100
1652865020000,100
1652865040000,100
1652865060000,100
1652865080000,100
1652865100000,100
1652865120000,100
1652865140000,100
1652865160000,100
1652865180000,100
1652865200000,100
1652865220000,100
1652865240000,100
1652865260000,100
1652865280000,100
1652865300000,100
1652865320000,100
1652865340000,100
1652865360000,100
1652865380000,100
1652865400000,100
1652865420000,100
1652865440000,100
1652865460000,100
1652865480000,100
1652865500000,100
1652865520000,100
1652865540000,100
1652865560000,100
1652865580000,100
1652865600000,100
1652865620000,100
1652865640000,100
1652865660000,100
1652865680000,100
1652865700000,100
1652865720000,100
1652865740000,100
1652865760000,100
1652865780000,100
1652865800000,100
1652865820000,100
1652865840000,100
1652865860000,100
1652865880000,100
1652865900000,100
1652865920000,100
1652865940000,100
1652865960000,100
1652865980000,100
1652866000000,100
1652866020000,100
1652866040000,100
1652866060000,100
1652866080000,100
1652866100000,100
1652866120000,100
1652866140000,100
1652866160000,100
1652866180000,100
1652866200000,100
1652866220000,100
1652866240000,100
1652866260000,100
1652866280000,100
1652866300000,100
1652866320000,100
1652866340000,100
1652866360000,100
1652866380000,100
1652866400000,100
1652866420000,100
1652866440000,100
1652866460000,100
1652866480000,100
1652866500000,100
1652866520000,100
1652866540000,100
1652866560000,100
1652866580000,100
1652866600000,100
1652866620000,100
1652866640000,100
1652866660000,100
1652866680000,100
1652866700000,100
1652866720000,100
1652866740000,100
1652866760000,100
1652866780000,100
1652866800000,100
1652866820000,100
1652866840000,100
1652866860000,100
1652866880000,100
1652866900000,100
1652866920000,100
1652866940000,100
1652866960000,100
1652866980000,100
1652867000000,100
1652867020000,100
1652867040000,100
1652867060000,100
1652867080000,100
1652867100000,100
1652867120000,100
1652867140000,100
1652867160000,100
1652867180000,100
1652867200000,100
1652867220000,100
1652867240000,100
1652867260000,100
1652867280000,100
1652867300000,100
1652867320000,100
1652867340000,100
1652867360000,100
1652867380000,100
1652867400000,100
1652867420000,100
1652867440000,100
1652867460000,100
1652867480000,100
1652867500000,100
1652867520000,100
1652867540000,100
1652867560000,100
1652867580000,100
1652867600000,100
1652867620000,100
1652867640000,100
1652867660000,100
1652867680000,100
1652867700000,100
1652867720000,100
1652867740000,100
1652867760000,100
1652867780000,100
1652867800000,100
1652867820000,100
1652867840000,100
1652867860000,100
1652867880000,100
1652867900000,100
1652867920000,100
1652867940000,100
1652867960000,100
1652867980000,100
1652868000000,100
1652868020000,100
1652868040000,100
1652868060000,100
1652868080000,100
1652868100000,100
1652868120000,100
1652868140000,100
1652868160000,100
1652868180000,100
1652868200000,100
1652868220000,100
1652868240000,100
1652868260000,100
1652868280000,100
1652868300000,100
1652868320000,100
1652868340000,100
1652868360000,100
1652868380000,100
1652868400000,100
1652868420000,100
1652868440000,100
1652868460000,100
1652868480000,100
1652868500000,100
1652868520000,100
1652868540000,100
1652868560000,100
1652868580000,100
1652868600000,100
1652868620000,100
1652868640000,100
1652868660000,100
1652868680000,100
1652868700000,100
1652868720000,100
1652868740000,100
1652868760000,100
1652868780000,100
1652868800000,100
1652868820000,100
1652868840000,100
1652868860000,100
1652868880000,100
1652868900000,100
1652868920000,100
1652868940000,100
1652868960000,100
1652868980000,100
1652869000000,100
1652869020000,100
1652869040000,100
1652869060000,100
1652869080000,100
1652869100000,100
1652869120000,100
1652869140000,100
1652869160000,100
1652869180000,100
1652869200000,100
1652869220000,100
1652869240000,100
1652869260000,100
1652869280000,100
1652869300000,100
1652869320000,100
1652869340000,100
1652869360000,100
1652869380000,100
1652869400000,100
1652869420000,100
1652869440000,100
1652869460000,100
1652869480000,100
1652869500000,100
1652869520000,100
1652869540000,100
1652869560000,100
1652869580000,100
1652869600000,100
1652869620000,100
1652869640000,100
1652869660000,100
1652869680000,100
1652869700000,100
1652869720000,100
1652869740000,100
1652869760000,100
1652869780000,100
1652869800000,100
1652869820000,100
1652869840000,100
1652869860000,100
1652869880000,100
1652869900000,100
1652869920000,100
1652869940000,100
1652869960000,100
1652869980000,100
1652870000000,100

